bath,balcony,price,total_sqft_float,bhk,price_per_sqft
1.0,1.0,16.0,351.0,1,4558.404558404558
1.0,0.0,35.0,527.0,1,6641.366223908918
1.0,1.0,50.0,670.0,1,7462.686567164179
3.0,3.0,149.0,1750.0,3,8514.285714285714
3.0,2.0,150.0,1750.0,3,8571.42857142857
2.0,2.0,40.0,1250.0,2,3200.0
2.0,2.0,40.0,1170.0,2,3418.803418803419
2.0,2.0,43.0,947.0,2,4540.654699049631
2.0,2.0,36.0,1130.0,2,3185.8407079646017
2.0,1.0,58.0,1230.0,2,4715.447154471544
2.0,1.0,47.0,1116.0,2,4211.469534050179
2.0,2.0,40.0,991.0,2,4036.326942482341
2.0,2.0,65.0,1425.0,3,4561.403508771929
3.0,2.0,75.0,1705.0,3,4398.826979472141
3.0,1.0,71.0,1700.0,3,4176.470588235294
1.0,1.0,19.5,435.0,1,4482.758620689655
1.0,1.0,27.0,550.0,1,4909.090909090909
1.0,1.0,25.5,700.0,1,3642.8571428571427
2.0,2.0,70.0,1450.0,3,4827.586206896552
1.0,0.0,28.0,440.0,1,6363.636363636364
1.0,0.0,19.8,412.5,1,4800.0
1.0,1.0,276.0,6000.0,1,4600.0
1.0,0.0,25.25,510.0,1,4950.980392156863
1.0,1.0,25.25,510.0,1,4950.980392156863
1.0,1.0,52.0,905.0,1,5745.85635359116
2.0,0.0,480.0,2400.0,3,20000.0
3.0,2.0,410.0,3420.0,4,11988.30409356725
9.0,3.0,360.0,5000.0,11,7200.0
12.0,1.5843757375501535,150.0,6000.0,11,2500.0
1.0,1.0,200.0,1800.0,1,11111.111111111111
4.0,1.0,650.0,2360.0,4,27542.372881355932
13.0,0.0,275.0,5425.0,13,5069.124423963133
3.0,2.0,85.0,1540.0,3,5519.480519480519
1.0,0.0,45.0,600.0,1,7500.0
4.0,2.0,150.0,3150.0,4,4761.9047619047615
2.0,1.0,67.0,1250.0,2,5360.0
2.0,2.0,148.0,1235.0,2,11983.805668016194
3.0,2.0,194.0,1630.0,3,11901.840490797545
4.0,1.0,428.0,2850.0,4,15017.543859649122
4.0,0.0,413.0,2750.0,4,15018.181818181818
2.0,3.0,110.0,1415.0,2,7773.851590106007
2.0,2.0,65.5,860.0,2,7616.279069767442
3.0,2.0,210.0,2350.0,3,8936.170212765957
3.0,3.0,300.0,3000.0,4,10000.0
5.0,3.0,500.0,3000.0,4,16666.666666666668
2.0,2.0,50.0,840.0,1,5952.380952380952
2.0,1.0,100.0,1394.0,2,7173.601147776184
2.0,2.0,93.0,1077.0,2,8635.097493036212
2.0,2.0,88.5,1180.0,2,7500.0
2.0,1.5843757375501535,86.0,1200.0,2,7166.666666666667
2.0,1.0,85.0,1205.0,2,7053.941908713693
2.0,1.0,75.0,900.0,2,8333.333333333334
3.0,1.0,167.0,1875.0,3,8906.666666666666
4.0,1.0,210.0,2065.0,3,10169.49152542373
3.0,3.0,131.0,1590.0,3,8238.993710691824
3.0,2.0,210.0,2180.0,3,9633.02752293578
3.0,3.0,175.0,2077.0,3,8425.613866153106
4.0,3.0,250.0,2825.0,4,8849.557522123894
5.0,3.0,222.0,2615.0,4,8489.483747609942
2.0,2.0,65.0,1350.0,3,4814.814814814815
2.0,1.0,67.0,1400.0,2,4785.714285714285
2.0,2.0,55.0,1200.0,2,4583.333333333333
4.0,2.0,301.0,3000.0,4,10033.333333333334
3.0,3.0,92.0,1625.0,3,5661.538461538462
3.0,3.0,92.0,1625.0,3,5661.538461538462
3.0,2.0,90.0,1480.0,3,6081.081081081081
3.0,2.0,90.0,1480.0,3,6081.081081081081
2.0,1.0,97.0,1000.0,2,9700.0
3.0,3.0,223.0,1718.0,3,12980.209545983702
5.0,1.5843757375501535,972.0,5400.0,7,18000.0
1.0,1.0,55.0,1000.0,2,5500.0
2.0,1.0,42.5,850.0,2,5000.0
4.0,2.0,200.0,2800.0,5,7142.857142857143
2.0,1.0,40.25,1150.0,2,3500.0
2.0,1.0,40.25,1150.0,2,3500.0
2.0,1.0,50.75,1450.0,3,3500.0
2.0,2.0,47.25,1350.0,3,3500.0
2.0,2.0,47.25,1350.0,3,3500.0
2.0,2.0,47.25,1350.0,3,3500.0
3.0,2.0,142.0,2095.0,3,6778.042959427207
4.0,2.0,220.0,1500.0,4,14666.666666666666
3.0,2.0,230.0,1500.0,4,15333.333333333334
8.0,3.0,451.0,3000.0,6,15033.333333333334
3.0,1.0,205.0,1200.0,3,17083.333333333332
4.0,1.0,325.0,2400.0,5,13541.666666666666
8.0,2.0,650.0,2400.0,6,27083.333333333332
3.0,1.0,100.0,2000.0,3,5000.0
2.0,3.0,95.0,1300.0,2,7307.692307692308
3.0,2.0,140.0,1650.0,3,8484.848484848484
3.0,3.0,240.0,2150.0,3,11162.790697674418
3.0,3.0,170.0,1750.0,3,9714.285714285714
3.0,1.0,270.0,2100.0,3,12857.142857142857
2.0,1.0,63.0,1145.0,2,5502.183406113537
4.0,3.0,345.0,4500.0,4,7666.666666666667
3.0,1.0,65.0,1300.0,2,5000.0
4.0,1.0,80.0,10961.0,4,729.8604141957851
3.0,2.0,240.0,2005.0,3,11970.074812967581
2.0,0.0,190.0,1567.2,3,12123.532414497193
2.0,2.0,150.0,1225.0,2,12244.897959183674
2.0,2.0,97.0,1269.0,2,7643.81402679275
3.0,3.0,140.0,1800.0,3,7777.777777777777
6.0,1.5843757375501535,420.0,3400.0,4,12352.941176470587
9.0,1.5843757375501535,500.0,4500.0,9,11111.111111111111
2.0,2.0,38.9,1070.0,2,3635.5140186915887
2.0,2.0,38.0,1080.0,2,3518.5185185185187
3.0,2.0,185.0,2401.0,3,7705.12286547272
3.0,2.0,185.0,2400.0,3,7708.333333333333
4.0,1.5843757375501535,333.0,3900.0,4,8538.461538461539
4.0,1.0,120.0,1550.0,4,7741.935483870968
2.0,2.0,56.0,1206.0,2,4643.449419568822
2.0,2.0,70.0,1270.0,3,5511.811023622047
1.0,1.0,300.0,1500.0,1,20000.0
1.0,1.0,30.0,600.0,1,5000.0
1.0,1.0,23.5,552.0,1,4257.246376811594
2.0,1.0,62.8,1256.0,2,5000.0
2.0,2.0,63.0,1207.0,2,5219.552609776305
2.0,2.0,65.0,1390.0,2,4676.258992805755
2.0,1.0,62.8,1256.0,2,5000.0
2.0,0.0,48.0,1000.0,2,4800.0
2.0,2.0,61.8,1190.0,2,5193.27731092437
2.0,1.0,53.0,1080.0,2,4907.407407407408
2.0,2.0,54.0,1041.0,2,5187.319884726225
2.0,1.0,42.0,812.0,2,5172.413793103448
2.0,1.0,75.0,1350.0,3,5555.555555555556
3.0,2.0,60.0,1240.0,3,4838.709677419355
3.0,3.0,75.0,1550.0,3,4838.709677419355
2.0,2.0,73.0,1450.0,3,5034.482758620689
5.0,1.5843757375501535,110.0,2500.0,5,4400.0
5.0,2.0,170.0,4000.0,5,4250.0
3.0,2.0,85.0,2000.0,3,4250.0
3.0,2.0,85.0,2000.0,3,4250.0
4.0,1.0,520.0,4000.0,4,13000.0
4.0,2.0,255.0,2100.0,3,12142.857142857143
3.0,3.0,190.0,3200.0,4,5937.5
2.0,2.0,74.0,1192.0,2,6208.053691275168
2.0,2.0,65.0,1140.0,2,5701.754385964912
2.0,1.5843757375501535,80.0,1460.0,2,5479.45205479452
2.0,3.0,75.0,1192.0,2,6291.946308724832
3.0,1.5843757375501535,200.0,2040.0,3,9803.921568627451
3.0,3.0,131.0,1810.0,3,7237.5690607734805
2.0,2.0,135.0,1515.0,3,8910.89108910891
4.0,1.5843757375501535,250.0,3245.0,4,7704.160246533128
2.0,1.0,110.0,1117.0,2,9847.806624888093
3.0,2.0,400.0,3000.0,3,13333.333333333334
3.0,1.0,660.0,4000.0,3,16500.0
3.0,0.0,408.0,2400.0,3,17000.0
2.0,1.0,293.0,1903.0,3,15396.741986337362
3.0,1.0,528.0,3000.0,5,17600.0
1.0,2.0,47.0,750.0,1,6266.666666666667
1.0,1.0,60.0,1000.0,1,6000.0
2.0,2.0,72.0,1080.0,2,6666.666666666667
2.0,1.0,82.0,1175.0,2,6978.723404255319
2.0,1.0,71.0,1050.0,2,6761.9047619047615
2.0,1.0,50.49,918.0,2,5500.0
2.0,2.0,69.0,980.0,2,7040.816326530612
2.0,2.0,72.0,1180.0,2,6101.6949152542375
2.0,1.0,83.0,1270.0,2,6535.433070866142
2.0,2.0,82.5,1175.0,2,7021.276595744681
2.0,1.0,75.0,1050.0,2,7142.857142857143
2.0,2.0,73.0,1130.0,2,6460.1769911504425
2.0,1.0,87.0,1275.0,2,6823.529411764706
2.0,2.0,53.0,1000.0,2,5300.0
2.0,1.0,61.0,1000.0,2,6100.0
2.0,1.0,70.65,1000.0,2,7065.000000000001
2.0,2.0,75.0,1080.0,2,6944.444444444444
2.0,2.0,65.0,1120.0,2,5803.571428571428
3.0,1.0,60.0,1100.0,2,5454.545454545455
2.0,1.0,75.0,1050.0,2,7142.857142857143
2.0,1.0,75.0,1040.0,2,7211.538461538462
2.0,0.0,68.0,1050.0,2,6476.190476190476
2.0,2.0,60.0,1000.0,2,6000.0
2.0,1.0,80.0,1270.0,2,6299.212598425197
2.0,1.0,60.0,1128.0,2,5319.148936170212
2.0,1.0,108.0,1530.0,2,7058.823529411765
2.0,1.0,100.0,1420.0,3,7042.2535211267605
2.0,1.0,95.0,1400.0,3,6785.714285714285
3.0,1.0,160.0,2225.0,3,7191.011235955056
2.0,1.0,100.0,1450.0,3,6896.551724137931
2.0,2.0,96.0,1420.0,3,6760.56338028169
3.0,2.0,120.0,1680.0,3,7142.857142857143
2.0,2.0,110.0,1575.0,3,6984.126984126984
3.0,2.0,140.0,1850.0,3,7567.5675675675675
2.0,2.0,120.0,1575.0,3,7619.047619047619
3.0,2.0,120.0,1680.0,3,7142.857142857143
3.0,2.0,89.13,1300.0,3,6856.153846153846
3.0,2.0,100.0,1450.0,3,6896.551724137931
3.0,2.0,110.0,1650.0,3,6666.666666666667
3.0,2.0,117.0,1680.0,3,6964.285714285715
3.0,2.0,125.0,1680.0,3,7440.476190476191
2.0,2.0,100.0,1460.0,3,6849.315068493151
3.0,3.0,110.0,1650.0,3,6666.666666666667
3.0,3.0,125.0,1680.0,3,7440.476190476191
2.0,1.0,97.0,1460.0,3,6643.835616438356
3.0,3.0,120.0,1790.0,3,6703.91061452514
3.0,2.0,117.0,1680.0,3,6964.285714285715
2.0,1.0,95.0,1400.0,3,6785.714285714285
3.0,2.0,130.0,1800.0,3,7222.222222222223
3.0,2.0,125.0,1680.0,3,7440.476190476191
3.0,2.0,122.0,1680.0,3,7261.9047619047615
3.0,3.0,130.0,1680.0,3,7738.0952380952385
3.0,2.0,112.0,1680.0,3,6666.666666666667
3.0,2.0,150.0,2095.0,3,7159.904534606205
3.0,1.0,145.0,1976.0,3,7338.056680161943
2.0,2.0,110.0,1600.0,3,6875.0
3.0,2.0,118.0,1765.0,3,6685.552407932011
2.0,2.0,88.0,1275.0,3,6901.9607843137255
2.0,1.0,102.0,1450.0,3,7034.482758620689
2.0,2.0,110.0,1575.0,3,6984.126984126984
2.0,3.0,92.0,1680.0,3,5476.190476190476
2.0,1.0,102.0,1430.0,3,7132.867132867133
3.0,2.0,90.0,1420.0,3,6338.028169014085
4.0,0.0,150.0,3300.0,4,4545.454545454545
4.0,0.0,188.0,2503.0,4,7510.986815821015
2.0,2.0,110.0,1100.0,2,10000.0
1.0,1.0,31.0,500.0,1,6200.0
1.0,1.0,30.0,500.0,1,6000.0
2.0,1.0,42.47,1062.0,2,3999.0583804143125
2.0,1.0,43.91,1098.0,2,3999.089253187614
2.0,2.0,38.0,1080.0,2,3518.5185185185187
